ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
383,Kim,Pennington,1958-09-06,Masculino,"5199 Sara Bridge Apt. 994
North Jenniferberg, WY 11195",001-737-895-2502x5088,jacquelineboyd@example.org,Lexicographer,MaNtENiMientO,2015-06-15,A tiemPO paRCiAl,RoTaTivo,Amanda Chavez,Retirado
384,Leslie,Gonzales,2004-05-22,Femenino,"065 Timothy Parkways Apt. 064
Georgefort, IL 62999",(854)325-1160,xcarpenter@example.com,Recruitment consultant,adminISTRAción,2017-11-29,pErmAnEnTe,dIurNo,Melissa Taylor,EN liCeNcIA
385,Melanie,Christian,1966-01-31,Femenino,"9432 Brett Ways
Reynoldsburgh, VI 79390",001-367-368-0338,ahicks@example.org,Banker,prODucciÓN,2015-10-11,a TiemPo ParcIAL,dIUrnO,Lisa Kidd,aCTIvo
386,Kenneth,Garner,1997-04-01,Masculino,"747 Pratt Overpass
Mooreview, TN 62360",(627)858-2243,jeffrey21@example.com,Licensed conveyancer,pROducCIÓN,2022-05-25,A tIEMPo parciAl,rOtaTivO,William Terry,retiradO
387,Dale,Griffin,1982-01-04,Femenino,"74411 Hill Lakes Apt. 698
Jonathanstad, MO 47162",001-652-338-6366x57274,lewisrebecca@example.net,"Engineer, building services",PrODUCCIón,2016-12-21,TemPorAL,dIuRno,Brittany Barker,REtIrAdO
388,Brenda,Marquez,1997-08-12,Femenino,"45420 Richardson Glens
Piercehaven, AS 90068",+1-826-957-2718x3353,sarah05@example.net,Pharmacologist,PRodUCCIóN,2016-02-22,TEMpORAL,nOcturNO,Heather Smith,eN LICeNCIa
389,Calvin,Miller,1965-12-31,Masculino,"0953 Foster Brook Suite 502
Ochoachester, MT 51239",7994216962,wyoung@example.com,Ceramics designer,cAlidad,2023-12-07,TeMPoRal,dIuRnO,Matthew Valdez,acTIvO
390,Denise,Bailey,1980-12-28,Femenino,"175 Gabriel Knoll
Port Mary, UT 26946",+1-635-937-5675x4382,ellen77@example.com,Tax inspector,LogÍsTicA,2020-01-07,a tiEmPo pARCIal,dIURNO,Katie Figueroa,En LICEnCiA
391,Michael,Chavez,2006-01-01,Femenino,"226 Lisa Shoal Suite 178
West Billy, FM 31135",(308)478-6191,david06@example.org,Multimedia specialist,proDUCCIÓN,2014-10-26,tEMPoRAl,NocTURNo,Jason Tapia,RETIRADo
392,Mark,Gutierrez,1992-03-16,Femenino,"07389 Ward Orchard
Amyfurt, CO 53040",+1-711-402-4257x67812,moorecourtney@example.com,Barista,PrODuCCiÓN,2022-11-01,A tIEmpo paRCIAL,DIUrno,Jennifer Bauer,eN liCencIa
393,Lisa,Mccarthy,1962-11-15,Masculino,"78348 Craig Underpass
Annaport, AL 88429",001-808-508-3037x91385,johnweiss@example.org,Acupuncturist,ADMiNistRacIóN,2023-12-27,temporAL,nOcTUrNO,Jeremy Vance,aCtiVo
394,Aaron,Ellis,2003-05-04,Masculino,"829 Jones Village
East Matthew, MS 99749",001-299-415-7583x76052,murphyroberta@example.net,"Engineer, civil (contracting)",calIdaD,2024-06-10,a TiempO pARCiAl,NoCTUrno,Timothy White,rEtiraDo
395,Gary,Simmons,1997-07-13,Masculino,"3592 Adams Junctions
East Maryside, KY 97110",+1-690-758-1657x387,stevenbrewer@example.net,Chiropractor,maNTEnImIentO,2014-10-04,A TiempO pArcIAl,dIuRNo,Mackenzie Alvarez,rETIRAdo
396,Donna,Gonzalez,1982-05-17,Femenino,"661 Mcintosh Row Suite 442
West John, MO 14107",001-663-370-7105x99545,growe@example.com,Land/geomatics surveyor,LOGÍSTicA,2019-02-06,TEmpoRAl,ROtaTIVO,Stanley Lucas,en lIceNciA
397,Jennifer,Cohen,1988-08-14,Femenino,"6618 Shawn Via
Lake Sean, HI 50874",729-578-9998,charlene04@example.com,"Teacher, early years/pre",PRODUcCIÓn,2015-08-26,tEmPoraL,ROTativo,Sandra Moreno,en LIcENcia
398,Harry,Jenkins,1991-05-14,Masculino,"351 Todd Skyway Apt. 269
Chavezburgh, AL 11324",+1-781-460-7446x65358,woodmaurice@example.com,Environmental health practitioner,PRoducCIÓN,2021-06-28,peRMaNEnte,ROtAtivO,Jasmine Garcia,En lIcEncIa
399,Brian,Curtis,1976-02-09,Femenino,"650 Chase Prairie
Port Michaelfort, VT 65630",2383233613,alexandra75@example.net,"Pilot, airline",PROducciÓn,2017-04-19,TeMpOral,NocTURNO,Rhonda Williams,rETIraDo
400,Christina,Brown,1961-07-07,Femenino,"5846 Carter Roads Apt. 647
West Christinefurt, UT 87245",(404)330-3673x459,emma61@example.org,Web designer,AdMiNIsTracióN,2021-08-27,TEmporAl,rOtatiVo,Michelle Thompson,aCTiVo
401,Jason,Schneider,1981-07-11,Masculino,"85008 Berry Springs
Port Candaceland, ND 68735",+1-243-470-2441x542,ghebert@example.com,Television camera operator,calidAd,2023-03-23,PeRmANenTE,dIuRno,Sara Wood,reTIraDo
402,Anthony,Ward,1959-08-09,Femenino,"2629 Moore Manors
Laurenmouth, OR 69327",001-502-582-5560x7485,trush@example.net,Agricultural consultant,PROducCiÓN,2019-02-19,PeRMAnEnTe,rOTATiVo,Thomas Sparks,eN liceNCiA
403,Scott,Rivera,2001-04-08,Masculino,"166 Paula Inlet
Lake Jamesstad, NE 35734",9975281074,janderson@example.org,Best boy,loGÍSTICa,2020-06-19,tEmporAl,rOTATivo,Megan Marshall,RETIrAdO
404,Kathleen,Johnson,1979-03-29,Masculino,"610 Chad Manor Apt. 284
West Jennifer, FM 90718",(558)838-6313,vmcbride@example.net,Sales promotion account executive,CalIdAd,2023-08-30,tEmpOral,RoTatIVO,Daniel Hart,En LICenciA
405,Deborah,Alvarez,2002-12-29,Femenino,"Unit 4486 Box 2877
DPO AE 92556",288.818.2376,dhunter@example.com,Control and instrumentation engineer,LOGÍSTicA,2019-09-07,tEmpoRaL,NOCTURno,Emily Brady,REtIRado
406,Debra,Carroll,1982-07-17,Femenino,"627 Johnson Valley Suite 078
Gabrielletown, VA 98914",422.870.8619,james80@example.org,Armed forces logistics/support/administrative officer,PrOdUcCiÓN,2014-07-30,a TIeMpo parciAl,NoCTUrNO,Sierra Richardson,activo
407,Sara,Marshall,1977-11-14,Femenino,"201 Nicole Manors
Nicholemouth, AL 79991",(728)712-1449x6015,eric99@example.org,Printmaker,LoGÍstiCA,2024-05-04,A tiempO PARCiAl,diUrNO,Thomas Walker,En LIcenCIA
408,Mark,Jenkins,1989-11-18,Masculino,"3673 King Landing Suite 455
Desireeside, OK 38193",5194107764,joanna34@example.com,Geophysicist/field seismologist,MAntENIMiento,2022-03-19,a tiEMpO pARciAl,NoctUrnO,Gloria Taylor,reTIrAdO
409,Jennifer,Patterson,1987-06-15,Masculino,"492 Ramirez Dam
Porterton, PW 16112",+1-851-388-5387x5882,rthompson@example.net,"Therapist, nutritional",adminIstrACión,2021-11-06,TempoRAl,NoCturNO,Maria Cooper,RETirAdO
410,Daniel,Smith,1999-08-01,Femenino,"Unit 7671 Box 1225
DPO AA 95774",(345)615-2275,rodneylee@example.com,Editorial assistant,maNteNImIENtO,2017-11-24,A tiEmpO paRcial,nOCTURNo,Tina Shepard,EN lICeNcIA
411,David,Meadows,1976-01-23,Masculino,"673 Wayne Manors
New Marilyn, LA 88754",635-286-0275,vdavis@example.net,Contractor,adMInisTRAcióN,2019-05-07,A TIempo ParciAL,noCtuRNo,Donald Griffith,En LICencia
412,Whitney,Evans,1993-02-09,Masculino,"847 Harris Burg Suite 237
Nunezbury, IA 68437",419-421-9677x37831,jason40@example.org,Building services engineer,CAlIDaD,2017-08-02,A TiEmPo PArCIAL,ROtaTiVO,Denise Gomez,rEtirado
413,Andrew,Mendez,1986-05-26,Masculino,"USNV Lewis
FPO AE 57338",001-670-897-5390x1845,pclark@example.net,"Research officer, government",prOdUCcIón,2020-01-06,a tIEmpo PARCiAl,nOCTuRNO,Savannah Hampton,ReTiRAdO
414,Kimberly,Bell,1980-11-20,Femenino,"40809 Brown Fords Suite 748
Johnsonberg, MO 81402",234-398-8595,michael53@example.com,Manufacturing systems engineer,LogíSticA,2016-01-01,TemPOrAl,NOCtUrno,Andrew Payne,EN liCENcIa
415,Donald,Haas,1975-11-03,Femenino,"16781 Pamela Route
Websterchester, MN 31549",(934)444-6498,howardtracy@example.com,Financial manager,CALIdaD,2020-02-15,tEmpoRaL,RotatiVO,Kevin Walter,EN lIcENcIA
416,Bethany,Long,1993-08-17,Femenino,"9434 Robert Run Apt. 124
Laurastad, NH 03803",(830)215-4969x972,woodroger@example.net,Armed forces training and education officer,CAlIdAd,2022-03-06,teMPoRaL,Diurno,Laura Williams,eN LiceNCia
417,Nicholas,Parker,1967-03-13,Masculino,"46718 Rice Run Suite 915
South Nicholas, MD 93100",514-780-1396x9023,halllance@example.com,Logistics and distribution manager,mAnTEniMiENto,2022-07-18,A TIEMPo PArCial,NocTuRNo,William Lewis,eN LiCEnciA
418,Madison,Gardner,1978-07-16,Femenino,"339 Joseph Vista Apt. 581
New Janet, ID 72481",298-208-2394x45395,rosejoseph@example.org,Financial planner,aDmINiSTrAcIÓn,2015-05-30,A TiEmpO ParciAl,rOTAtivO,Daniel Brown,En liCEncIa
419,Jamie,Gonzalez,1968-11-16,Femenino,"5742 Johnson Knolls Apt. 648
Lake Susan, WY 01381",681.226.6289x113,cristianwarren@example.com,Surgeon,prODuCCiÓn,2017-02-17,teMPORaL,noCtuRNO,Laura Medina,eN LICeNCia
420,James,Miller,1996-11-14,Masculino,"516 Johnson Loop
South Johnton, FL 93937",967.495.4346x4519,jorobinson@example.com,Psychiatric nurse,PRoDUccIóN,2019-01-15,A TIEmPO pArciAL,rOtaTivo,Daniel Kramer,EN LICenCiA
421,George,Gilmore,1988-08-25,Femenino,"6920 Miguel Meadows Suite 549
Hunterburgh, ME 25787",(202)338-9829,earnold@example.com,Medical physicist,logíSTiCA,2019-05-03,PerMAnenTE,NOctuRno,Darrell Carlson,eN LicencIa
422,Derek,Austin,1990-10-22,Masculino,"8456 Jenkins Spur Apt. 801
East Oscarmouth, AL 20253",(223)637-2402x002,michaelbennett@example.net,Police officer,CAliDAd,2018-06-15,TEMPoRAl,NocTUrno,Nicole Gill,En LiCenCIA
423,Kathleen,Miller,1992-12-03,Masculino,"23158 Thomas Rest Apt. 356
Port Juliehaven, AS 11771",760.351.3989,christopher85@example.org,International aid/development worker,lOgístIcA,2020-06-16,A TieMpo PARCiAl,nOCTURNo,Jose Parker,ACtiVO
424,Margaret,Delgado,1965-07-14,Femenino,"4268 Harris Street Apt. 463
West Johnborough, AS 36512",895-641-3813x47124,gstewart@example.net,Product manager,lOgÍstiCa,2022-07-18,a TIempO PaRCial,nOctUrNO,Ethan Thomas,aCtIVo
425,Samuel,Gallegos,1965-05-23,Femenino,"998 James Coves Suite 666
Edwardsstad, DE 44633",834.242.9016,dilloncosta@example.org,Horticultural consultant,MANteNiMiEntO,2023-01-15,teMpORaL,rotatIVo,Joseph Hanna,EN liCEnCIa
426,Paul,Burton,1987-04-04,Masculino,"20524 Jamie Mission
East Jamieville, NH 79975",(344)203-5352,jenkinsnancy@example.net,Transport planner,lOgísTICA,2023-08-19,tEmpORAl,DiuRNo,Lindsay Cross,eN LICeNCIa
427,Jason,Howard,2005-01-15,Masculino,"6048 Mitchell Haven
Tinamouth, NY 98259",+1-327-627-7813x986,tommyburns@example.net,"Engineer, production",LOGísTiCa,2023-12-31,A tIeMpo pArCiAl,NOCTurNo,Jonathan Harris,EN LIcEncia
428,Andrew,Pierce,1979-08-20,Femenino,"152 Jordan Centers
Melodyfort, TN 02810",(761)323-3000x4108,ejohnson@example.com,Counsellor,caLIdAd,2015-08-18,A TIeMPo PArciAl,NoctuRnO,Melissa Miller,en liCEncIa
429,Jeffrey,Hart,2001-06-06,Femenino,"210 Mark Ranch
South Joseph, RI 96087",857-421-0864,james47@example.com,Amenity horticulturist,aDMInIStRACión,2023-02-06,A TiEMPO paRCial,NocTuRNO,Stephen Barry,ACtIVO
430,Jeffrey,Fleming,1988-05-29,Femenino,"6959 Ritter Inlet
New Stefaniefurt, WA 96724",610.391.6859x7334,rhoffman@example.net,Land/geomatics surveyor,AdmINistrACiÓn,2019-05-05,TEmpORAL,DIUrnO,Aaron Murray,aCtiVO
431,Jessica,Moore,1994-03-30,Femenino,"USCGC Walters
FPO AP 73479",242.780.3045,wbradley@example.net,Tourism officer,AdMinistRACIÓn,2021-11-21,A TIempo parcIal,nOctuRNO,Mark Stanton,ACtivO
432,Kimberly,White,1979-05-10,Femenino,"520 Charles Creek
Morganland, NM 37092",(502)951-7939x928,jonesdylan@example.com,Customer service manager,LOGísTicA,2020-04-11,TEMporal,nOCtuRNo,Grant Todd,En LicenCIa
433,Jared,Romero,2000-09-26,Masculino,"55223 Lisa Corner Suite 381
West Dantown, MS 26798",443-202-8617x87236,proctorbelinda@example.com,Paramedic,aDmInIsTRAcióN,2016-03-25,A tIeMPo pARCIaL,rotaTiVO,Jessica Avery,eN lIcEnCia
434,Cody,Erickson,1995-08-15,Femenino,"597 Hicks Cape
Lake Christopher, VT 79840",(532)651-7540,lbender@example.com,"Loss adjuster, chartered",pRodUcCIóN,2017-01-18,pErMANENtE,RoTativo,Chad Kaufman,AcTivO
435,Tanner,Rosales,1977-12-18,Femenino,"459 Jessica Trail
Lake Deborah, CT 08559",001-259-967-7915,jasonmcfarland@example.org,Neurosurgeon,ADmInistrAciÓN,2017-06-22,a tiemPo PaRcIAL,ROTAtIvo,Katherine Brooks,AcTIVo
436,Christopher,Clark,1987-03-27,Femenino,"454 Brittney Mount Suite 567
West Edwinhaven, DC 74232",001-747-553-9555x30660,justin27@example.net,"Psychologist, prison and probation services",pRODuCcióN,2020-09-13,A TIEMPo paRcIal,dIuRno,Charles Davis,eN LIceNcia
437,Amy,Jackson,2004-09-11,Masculino,"608 Lori Spring
Curtischester, NE 29445",877.626.3843x34301,xowen@example.net,Solicitor,MAnteNiMIento,2019-10-20,PeRMaNENTe,rOtATiVO,Jennifer Brown,En LiceNcIA
438,Denise,Flores,1990-10-06,Masculino,"8434 Zavala Radial
Montgomeryborough, ND 25188",+1-368-347-7166x797,eatkins@example.org,Paediatric nurse,AdmINIstraciÓN,2017-12-22,TEMPORal,rotaTIVo,Howard Bryan,aCtIvo
439,Lucas,Moore,1980-07-30,Masculino,"52787 Blanchard Circle
North Lauren, ME 49819",001-484-632-3758x21928,steve52@example.com,IT sales professional,lOgÍStica,2021-07-02,peRmaNENtE,NOCTUrno,Katherine Cordova,retirAdO
440,Jessica,Melendez,2004-03-20,Masculino,"0543 Barnes Spurs
Monicaside, WI 74232",291.838.5358,erin65@example.net,"Engineer, materials",pRODUCCIÓN,2020-11-26,permAnente,DiUrNo,Shannon Foster,ReTIraDO
441,Christopher,Reeves,1969-02-07,Masculino,"86175 Charles Via
Danielschester, RI 29224",957-389-7279x650,bethany49@example.net,Environmental education officer,caLIdAd,2018-06-22,A tiEMPo ParCIAl,dIUrNo,Michael Harrell IV,ActiVo
442,Mariah,Thompson,1958-10-31,Femenino,"57969 Wright Curve Suite 614
Beardbury, NY 10939",341.399.5254x9882,martinezmatthew@example.net,Advertising account executive,caLiDaD,2020-08-10,TemPoRAl,diurnO,Angel Dennis Jr.,rEtirADO
443,Michelle,Smith,1996-04-05,Masculino,"99716 Shannon Mount
Ericmouth, NV 54246",373.544.3664x102,melaniemason@example.com,Set designer,MANTENimIEnTO,2015-03-20,a TiEMpo pArcIAl,rotATIVO,Dustin Hall,acTIVo
444,David,Russell,1997-09-30,Femenino,"27878 Silva Burgs
Johnsonhaven, VI 69241",+1-292-483-3218x99956,pfrey@example.org,Personnel officer,ManTeNIMIeNtO,2015-01-10,A tiEmPo ParciAl,rOTatIVo,Joseph Baker,rEtIrADO
445,Hunter,Terrell,1967-01-12,Masculino,"1836 Jeanne Plains Suite 321
Carriefurt, ND 57847",(304)740-8958x6436,stevenprice@example.com,Artist,prOdUCcIÓN,2020-03-01,TEMPORaL,dIUrnO,Jon Ware,en LIcencIa
446,Russell,Nichols,2001-12-24,Femenino,"979 Castillo Square Suite 672
Ronaldshire, TX 15343",9104135700,qyoung@example.com,Special effects artist,mAnteNImiEntO,2022-12-25,TemPoRAL,noCturNO,Amber Townsend,en lICeNcIa
447,Robert,Weaver,1959-10-22,Femenino,"169 Russell Rue Suite 706
Wilcoxburgh, NE 31851",001-901-224-0009,fdowns@example.com,Ecologist,lOGíSTiCa,2021-02-06,PErmanentE,rOtAtiVo,Hannah Keith,en licENCIA
448,Christopher,Ferguson,1970-08-11,Femenino,"604 Thompson Pass Apt. 525
Gayshire, RI 19577",(609)239-3385,jtorres@example.com,Broadcast engineer,ProDUccIóN,2024-02-02,A tieMpo parCiAl,DiUrno,Justin Santana DDS,ReTiRaDo
449,Erika,Cooper,1970-09-07,Femenino,"76792 Margaret Plaza Suite 984
Lake Marc, OH 61140",+1-988-386-0309,jose20@example.com,"Engineer, maintenance (IT)",PrODuCcIón,2019-09-05,A tIEMPo PArcial,DiURNO,Brian Phillips,en LiCenciA
450,Jennifer,Peters,1968-07-16,Masculino,"2774 Powell Skyway
South Kristy, NC 77541",(246)495-8343x949,irowe@example.com,"Teacher, adult education",adMINISTraCiÓn,2014-08-20,peRMaNente,noCTUrno,Kristine Dean,ReTiRado
451,James,Horne,1993-03-19,Femenino,"338 Richardson Avenue Apt. 305
New Heatherbury, DE 31046",001-847-532-1117x662,sweeneyamanda@example.net,"Engineer, communications",cAlIDAD,2018-03-18,temPOraL,DiURnO,James Hall,AcTIvo
452,Robert,Frazier,1958-08-12,Femenino,"067 Joseph Extensions
Josephmouth, IL 65068",850.656.2804x511,fordtimothy@example.net,Fisheries officer,ADministrAcióN,2014-12-02,TeMPoRAL,DiuRNO,Dennis Miller,rETIrADo
453,Robert,Murray,1958-07-22,Femenino,"154 Michael Island Apt. 138
Angelaside, PW 51589",(572)561-1259x4605,dcraig@example.org,"Lecturer, further education",adMiNisTRAción,2022-09-15,TEMPorAL,diurNO,John Ramos,en licEnCIA
454,Dawn,Lopez,1965-12-05,Masculino,"75881 Glenn Squares
Holdenbury, CA 29458",+1-897-842-5837x9289,jamesellis@example.com,Hydrogeologist,PRoDUccIÓn,2021-03-03,A tieMpO parCiAL,DIurNO,Ryan Henderson,EN LiCENcIA
455,Anthony,Lowe,1968-10-07,Femenino,"3883 Collier Locks Apt. 744
Calvinfort, OH 82109",959-792-9403x1689,nsharp@example.com,Chartered accountant,PRodUCciÓN,2018-08-27,a tIEmpo paRCiaL,RoTAtIvo,Lacey Fox,eN LICENCIa
456,William,Rodriguez,1997-07-14,Femenino,"56336 Marilyn Isle Apt. 860
Lucaston, SD 13147",001-597-984-9390,emily17@example.net,Probation officer,PRoDUcción,2018-07-10,A tiEmPO parcIAl,ROtATiVo,Michelle Mcmahon,En LICENCIA
457,Derek,Wells,2001-11-18,Femenino,"973 Victoria Radial
South Michaelburgh, MP 07707",365-648-5326x732,claytonmurphy@example.net,Insurance broker,AdmInIsTraCión,2018-08-29,A tieMpO PARcIaL,rOTATIVo,Jessica Murphy,En LiCEnciA
458,Laura,Brown,1976-09-17,Femenino,"1666 Wendy Burgs Suite 150
Timothyshire, NM 82604",+1-490-356-8781x799,kaufmantiffany@example.org,"Runner, broadcasting/film/video",producCIóN,2023-11-11,teMPoRAl,rOtATIVO,Ricky Porter,acTivo
459,Sydney,Ruiz,1988-06-28,Femenino,"39931 Reyes Ramp
Justinfurt, LA 27056",762-581-9655,smcpherson@example.org,Art therapist,aDminiSTraciÓN,2022-10-02,PErmaNeNtE,dIurnO,Robert Esparza,EN LiCENcia
460,Ashley,Miller,1965-01-04,Masculino,"7217 Allen Turnpike Suite 774
Michellemouth, WY 18543",(914)393-9561x3635,johncarter@example.com,Mudlogger,prOduCCión,2021-08-09,TEmPORaL,DIuRnO,Nicholas Crawford,En LIcENCIa
461,Holly,Bishop,1987-01-08,Femenino,"376 Kimberly Estates
Kevinburgh, HI 19016",(715)227-5464x489,kristenharvey@example.org,Market researcher,mANTenImIEnTO,2015-11-04,pErManentE,noctuRNO,Gerald James,eN LIcencia
462,Jonathan,Ellis,1966-04-20,Femenino,"910 Chad Tunnel
Clementsport, ME 68174",886-282-4588,rmartin@example.net,Retail merchandiser,cAlIdaD,2023-05-09,a tiemPo PArciaL,dIURno,Mark Nguyen,RetIRaDo
463,Brittany,Miller,2006-03-04,Femenino,"423 Teresa Land
Tranfort, KS 12976",+1-570-847-3059x54595,xgray@example.net,Diplomatic Services operational officer,CaLidaD,2023-09-01,TEmPorAl,dIURnO,Ashley Phelps,ACTIvO
464,Eric,Thompson,1993-04-07,Masculino,"PSC 9804, Box 9718
APO AP 17384",935-612-3756,benjaminmelissa@example.org,Ergonomist,AdMINIsTRaCióN,2014-12-03,peRMAnENtE,ROTATiVo,Christina Ponce,rEtIRAdO
465,Edward,Pham,1974-11-29,Femenino,"21399 Brianna Prairie Apt. 705
Janebury, SD 56599",(986)699-6593x53292,hwade@example.com,Corporate investment banker,LOGÍSTIca,2022-10-16,TEMpoRal,DIuRNO,Jacob Thomas,rETIradO
466,Beverly,Welch,1973-06-28,Femenino,"63974 Myers Wall Suite 012
Reyesmouth, MA 32274",(206)895-5876x18160,calexander@example.net,Media planner,logíSTica,2024-03-10,temPORaL,noctURNo,Zachary Ross,RETIrADo
467,Matthew,Riley,2004-07-20,Masculino,"454 Sarah Oval
Margaretbury, ME 29905",001-405-785-2985x84489,jaimelogan@example.org,Ergonomist,logístiCA,2018-08-30,a tIemPo pArCIAL,NoctuRnO,Nicole Coffey,En liCenCia
468,Ruth,Allen,1989-05-23,Femenino,"78708 Jamie Walk Suite 441
Martinezside, VA 85043",+1-402-921-9860x12706,williamsjamie@example.org,Bonds trader,loGíStIcA,2023-12-16,a TIEmPO pArCial,diuRNO,Patrick Herrera,aCTIVO
469,Brian,Gates,1978-06-02,Masculino,"5288 Joseph Heights
Brownmouth, NM 42698",001-435-793-4353x9113,grimesalexis@example.org,Chartered management accountant,ADminiSTRAción,2024-01-29,A TIEmPo PaRCial,ROTaTiVO,Ms. Melissa Beltran,REtirADO
470,Mark,Castillo,1979-04-08,Masculino,"782 Moore Isle
East Pamela, SC 86019",(652)557-8549,qford@example.net,Camera operator,LogÍsTIca,2023-01-20,pErmANeNTe,diurNO,Henry Johnson,acTivO
471,Shirley,Cruz,1971-12-05,Masculino,"Unit 3615 Box 5230
DPO AA 24597",+1-804-897-5564,emily15@example.net,Community arts worker,adMinIStrACiÓn,2019-01-28,TemPoral,ROtATivO,Rebecca Fisher,En LicenCIa
472,Mary,Stafford,1987-10-30,Masculino,"4474 Leah Skyway
North Rogerland, SD 58850",+1-983-507-4272,jennifer79@example.net,Optometrist,lOgíStIca,2016-08-10,PErmaNENtE,diurnO,Sharon Harris,rEtIRADO
473,Mallory,Walker,1964-12-11,Masculino,"9496 Martin Garden Apt. 678
East Katherine, DE 17590",405-544-7797,bridgessteven@example.org,"Administrator, sports",LoGÍstiCA,2015-10-28,A TieMPO PARcIAl,dIuRnO,Kimberly Hart,ACTivO
474,Elizabeth,Wiggins,1987-05-19,Femenino,"01713 Haley Tunnel
South Scott, CO 63942",001-539-909-7589x079,martinjacob@example.com,Sports coach,AdMInISTRaCIón,2014-12-28,permaNENtE,NoCturnO,Michael Brennan,aCTiVO
475,Robert,Campbell,1965-08-27,Masculino,"9594 Jessica Throughway
Fernandezville, FM 40344",496-555-3161x50709,wendywalter@example.org,Geoscientist,loGísTicA,2016-02-08,a tiEmpO PArCIal,RotAtiVO,Joseph Dudley,acTivO
476,Dakota,Trujillo,1964-02-13,Masculino,"56714 Ryan View
Port James, VI 33754",342.573.9631,tarascott@example.org,Clinical psychologist,pRODUcCIón,2020-02-12,a TiEmpO pArCIal,RoTATiVo,Christopher Jackson,en lIcenCia
477,Shane,Miller,1989-01-03,Femenino,"1301 Cortez Spurs
Simonstad, FL 69157",(400)950-7484,castillohenry@example.com,Quantity surveyor,logÍStIcA,2018-05-09,PERmaneNTE,NOCTURNO,Kelsey Thompson,ACTIVO
478,Brandi,Simpson,2004-12-09,Masculino,"7595 Amanda Highway Apt. 013
Port Donaldport, NY 20807",001-802-741-0313x14540,crystalroberts@example.com,Toxicologist,mANTENimIENTo,2017-07-29,TEmPoRal,ROTAtiVo,Jaime Cherry,ReTIRado
479,Paul,Harris,1971-11-06,Masculino,"16389 Jason Ramp Apt. 688
Lake Kristinburgh, VT 29167",727.591.1274x70526,millerrenee@example.com,Make,mANTeniMiENTO,2014-09-21,A TIEMpo PaRCIal,noctuRNo,Amber Moran,en liCenCIA
480,Sherri,Barrera,2005-01-08,Femenino,"Unit 4121 Box 0728
DPO AP 66360",+1-701-904-8816x33931,kaitlyn42@example.org,Regulatory affairs officer,mANtEnImieNtO,2022-02-04,A tIEmpO paRCiAL,roTATiVO,Brittney Hayes,reTIraDO
481,Jeffrey,Terry,1995-10-01,Femenino,"825 Nguyen Ways Apt. 592
Smithport, IN 56692",(684)233-3494,lopezdaniel@example.org,"Administrator, education",loGÍstica,2017-10-26,PeRManENtE,DiuRNo,Troy Carson,eN LicEncIa
482,James,Clark,1995-05-21,Masculino,"0881 Isaac Path
Jasonfurt, AR 72269",793.953.0879,georgerodriguez@example.net,IT sales professional,ManTEniMIeNTO,2023-02-10,TempOrAL,NOCTuRnO,Brian Spencer,AcTIVO
483,Jillian,Anderson,1963-08-21,Masculino,"PSC 9319, Box 7023
APO AP 30021",(709)300-2699,michealbrown@example.com,Equities trader,ProdUccIón,2017-01-29,tEMPORal,ROtAtIVo,Stephanie Hensley,acTIvO
484,Justin,Mcneil,1982-07-05,Masculino,"41222 Mendez Highway Apt. 236
Port Heather, PA 12237",773.969.5916x1680,joneslauren@example.net,Architectural technologist,caLiDAD,2023-01-13,pErmAnentE,ROTATivo,Kelly Harris,EN LICenCiA
485,Nicole,Patton,1979-06-15,Masculino,"4363 Bryant Crossroad
Chadburgh, AL 57191",8826600675,ronaldwhite@example.com,Waste management officer,caLidAd,2014-11-11,PeRMAnENTe,nocTURNo,Amy Lynch,ActIVo
486,Katie,Murphy,1997-06-03,Masculino,"6327 John Rue Suite 504
Chavezshire, SC 67987",001-696-414-5853x979,jholland@example.com,Politician's assistant,CaliDaD,2018-12-10,TeMpOraL,DIUrno,Christopher Campbell,reTirAdO
487,John,Velasquez,1995-05-16,Femenino,"44380 Shannon Crossing Suite 291
West Robert, MO 79975",(734)538-7852,whitekimberly@example.net,"Pharmacist, hospital",loGístIca,2019-02-17,A TIemPO ParCiaL,NoCTurnO,Andrew Ramirez DVM,rEtiRAdo
488,Erin,Hampton,2001-01-04,Femenino,"063 Howard Way
Johnsonberg, IL 32759",4586616862,foxkelly@example.net,Publishing copy,LOGíSTICA,2020-02-17,a TIEmpo pARcial,nOcTurNO,Caleb Aguirre,aCtivO
489,Rita,Fisher,1993-09-12,Femenino,"9727 Strong Glen Suite 760
South Jeremyberg, AZ 03691",496.410.1890x555,rcarpenter@example.com,Private music teacher,MAnteniMiento,2021-01-20,TemPorAl,DIURNO,Wayne Parrish,reTiraDO
490,Ryan,Hudson,1993-10-23,Masculino,"944 Torres Field Suite 220
Port Christopherland, GA 64160",739.717.4622x339,nicholaspeters@example.net,Environmental manager,LOgíSTicA,2018-04-03,tEmPORaL,RoTatiVo,Sean Young,RetIrAdO
491,Ryan,Young,1964-02-25,Masculino,"5890 Kristen Rest Apt. 222
Smithhaven, IN 29065",838-277-8866x578,fcollins@example.net,"Designer, jewellery",pRODUccióN,2014-07-29,pERMaNentE,DIUrNO,Gabriel Rodriguez,eN liCEnCIA
