ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
471,Francisco,Jackson,1977-04-12,Femenino,"Unit 2913 Box 4392
DPO AA 96453",968-800-0599x0755,dbush@example.org,Optometrist,Logística,2023-01-24,Permanente,Rotativo,Nicole Walker,Retirado
472,Samantha,Chen,1962-06-18,Masculino,"609 Steven River
Foxborough, IA 70230",871.250.9142,fgriffin@example.com,"Investment banker, operational",Calidad,2018-12-18,A tiempo parcial,Rotativo,Chase Brooks,En licencia
473,Joe,Conway,2003-11-01,Masculino,"49490 Daisy Spur
Hawkinsstad, MA 50714",001-207-598-1864x742,garrettdamon@example.org,Production manager,Logística,2017-11-13,A tiempo parcial,Nocturno,Annette Schwartz,Retirado
474,Kelly,Olson,1960-01-01,Femenino,"809 John Estate Apt. 504
South Robert, CT 46978",(547)730-6513,jacob40@example.org,"Geologist, engineering",Logística,2017-05-25,Permanente,Nocturno,Dana Ochoa,Activo
475,Beth,Oneill,2006-01-24,Masculino,"6891 Howe Crest
South Alejandro, MH 01058",237.446.9493,michael69@example.org,"Geneticist, molecular",Administración,2017-01-27,Temporal,Nocturno,Diana Richardson,Retirado
476,Carrie,Norris,1981-05-07,Femenino,"092 Solomon Extensions Apt. 450
Brownburgh, FM 86938",8624153516,ashleyyoung@example.com,"Embryologist, clinical",Producción,2018-01-27,Permanente,Rotativo,Richard Jenkins,En licencia
477,Daniel,Willis,1988-06-14,Femenino,"USS Johnson
FPO AE 07724",(645)251-5102,michaelmann@example.net,"Engineer, petroleum",Logística,2015-12-03,Permanente,Nocturno,Cory Davies,Activo
478,Ryan,Reyes,1969-09-22,Femenino,"75825 Amanda Knoll
Michaelton, LA 13680",(272)301-4046x45925,dcox@example.org,Local government officer,Administración,2023-01-11,A tiempo parcial,Diurno,Donna Stewart,En licencia
479,John,Carson,1985-03-30,Femenino,"600 Gwendolyn Crescent Suite 438
Smithside, IL 91014",508.429.4227x3531,stacey67@example.com,"Exhibitions officer, museum/gallery",Producción,2018-03-22,Temporal,Diurno,Colleen Jones,Retirado
480,Mario,Adams,1973-11-19,Masculino,"2158 Martha Shore
Bellland, WV 13360",(455)752-5482x8819,norrisjames@example.org,"Horticulturist, commercial",Mantenimiento,2020-09-15,Permanente,Nocturno,Diane Baker,Retirado
481,Christine,Caldwell,1961-10-29,Masculino,"1425 Fields Parkway
South Hector, FL 32010",8667726721,douglas43@example.net,Camera operator,Calidad,2019-11-19,Temporal,Nocturno,Brent Nichols,Activo
482,Antonio,Richardson,2006-04-11,Masculino,"562 Johnson Forest Suite 936
East Kevin, WV 17763",418-894-7501x0471,salazarchase@example.com,Bookseller,Administración,2022-07-14,Temporal,Nocturno,Angela Castro,En licencia
483,Wesley,Alexander,1959-01-26,Masculino,"91366 Ingram Summit Suite 162
West Timothy, ID 26761",7326635472,cflores@example.net,Research scientist (medical),Administración,2016-06-30,A tiempo parcial,Rotativo,James Cunningham,En licencia
484,Kerri,Johnson,1960-10-11,Femenino,"97664 Joe Forest
South Jonathanbury, NH 12430",+1-340-807-0765x49343,yrichardson@example.com,"Production assistant, radio",Calidad,2020-04-08,Temporal,Rotativo,Ivan Murphy,En licencia
485,Jacob,Collins,1981-06-25,Femenino,"93606 Jennifer Squares
Port John, OH 50862",854.856.3184x2548,dustin42@example.net,Insurance underwriter,Administración,2022-05-11,Temporal,Rotativo,Mitchell Dixon,En licencia
486,Robin,Foster,1960-02-23,Masculino,"44526 Timothy Land Apt. 539
West Angelachester, MN 10788",+1-410-438-3081x423,frankwhite@example.com,Retail buyer,Producción,2017-03-30,A tiempo parcial,Diurno,John Herman,En licencia
487,Erica,Carter,2005-05-11,Masculino,"0417 Livingston Loaf
Jordanmouth, NY 27568",918.791.5013x528,emma86@example.com,Restaurant manager,Producción,2017-01-29,Permanente,Diurno,Debra Myers,Activo
488,Randy,Palmer,1977-12-08,Femenino,"97120 Mckinney Lane Apt. 313
East Margaret, GU 86874",735-276-2160x70149,blakediane@example.net,"Nurse, children's",Logística,2018-07-01,Temporal,Rotativo,Albert Briggs,En licencia
489,Jeffrey,Humphrey,2000-12-19,Masculino,"2582 Perkins Creek
Bradleyfurt, IA 65068",001-657-438-5144x847,brewerjames@example.net,Bookseller,Calidad,2024-02-18,Temporal,Diurno,Melissa Rogers,En licencia
490,Natasha,Ramsey,2004-12-05,Femenino,"20282 Duffy Tunnel Apt. 079
New Gregory, IA 06016",(825)831-0414x78969,gary84@example.net,Learning disability nurse,Mantenimiento,2016-10-19,Permanente,Rotativo,David Odonnell,Activo
491,Jason,Jones,1999-02-27,Masculino,"681 Tonya Roads Apt. 079
Jacquelinemouth, WI 35252",+1-886-482-8618x0537,michellehicks@example.net,"Research officer, government",Administración,2019-03-16,A tiempo parcial,Rotativo,Melissa Stevens,En licencia
492,Jorge,Whitney,1992-05-09,Masculino,"Unit 9124 Box 7627
DPO AA 15980",+1-678-384-7840x61942,wcruz@example.net,Herpetologist,Logística,2019-01-05,A tiempo parcial,Nocturno,Karla Shaw,Activo
493,Tara,Payne,1995-10-22,Masculino,"9219 Ramirez Crossing
Perrybury, MT 10679",(359)910-5599x815,tracysullivan@example.net,"Designer, industrial/product",Calidad,2016-04-24,Temporal,Nocturno,Makayla Gilbert,Retirado
494,Melvin,Thomas,1969-02-28,Femenino,"7079 Daniel Manor
Carrport, DC 40282",(488)370-1212x450,hklein@example.com,Insurance broker,Producción,2021-07-01,Permanente,Nocturno,Ivan Doyle,Retirado
495,Brooke,Cain,1996-12-10,Masculino,"PSC 3927, Box 1860
APO AA 47205",+1-979-321-1457x49967,vwarren@example.org,Music tutor,Producción,2019-09-26,Permanente,Nocturno,Katherine Jordan,Activo
496,Kiara,Scott,2001-10-09,Femenino,"4741 Samantha Estates Suite 785
New Clarence, SD 11967",618.435.9959x1681,williamsgabrielle@example.org,Medical illustrator,Administración,2020-01-13,Permanente,Rotativo,John Jones,En licencia
497,William,Leblanc,1995-01-03,Masculino,"1791 Angela Glen
West Petermouth, AR 34918",217-389-8760,cclark@example.net,"Engineer, maintenance (IT)",Logística,2018-05-01,Permanente,Rotativo,Jacob Burnett,Retirado
498,Michael,Hunt,1995-02-02,Femenino,"970 Mary Ramp
Jonesside, DC 63737",(741)934-7243,castrokimberly@example.net,"Psychotherapist, child",Mantenimiento,2019-02-27,Temporal,Diurno,Dana Porter,Activo
499,Henry,Livingston,1973-07-27,Femenino,"079 Chaney Key
Whitakerberg, DC 99947",(225)229-3757x839,oberg@example.org,Statistician,Mantenimiento,2018-01-10,A tiempo parcial,Diurno,Jacqueline Oconnor,Activo
500,Jessica,Thomas,1996-04-11,Femenino,"05117 Nichole Throughway
Lawrenceton, PR 93531",(782)462-2087x7499,halestephanie@example.net,"Loss adjuster, chartered",Producción,2022-09-18,Temporal,Rotativo,Mark Rios,Activo
501,Shelia,Johnson,1978-01-21,Femenino,"32974 Lauren Drive Suite 128
New Marioton, SD 20592",731-639-8729x2314,garciajonathan@example.net,Financial controller,Mantenimiento,2018-06-18,Permanente,Nocturno,Mandy Skinner,Retirado
502,Katherine,Gates,1981-10-07,Masculino,"89156 Brenda Gateway
Maryshire, NV 98495",001-234-632-0414x059,victoriabuckley@example.org,"Accountant, chartered certified",Producción,2016-09-06,A tiempo parcial,Diurno,Kimberly Day,Retirado
503,Matthew,Colon,1959-08-24,Masculino,"86146 Velazquez Mount
South Karina, IN 26078",+1-472-653-7279,dholt@example.org,Jewellery designer,Administración,2021-08-12,Permanente,Rotativo,Steven Jones,Retirado
504,Jeffery,Cortez,1992-02-19,Masculino,"127 Melissa Throughway Suite 927
Pageton, MA 24482",411.594.5898x3383,blakedavis@example.org,Armed forces logistics/support/administrative officer,Mantenimiento,2015-08-19,Permanente,Nocturno,Michael Garcia,Activo
505,Laurie,Gonzales,1979-04-06,Femenino,"USNV Mclean
FPO AA 92502",9083025277,mlawson@example.net,Podiatrist,Producción,2019-12-24,A tiempo parcial,Nocturno,Samantha Owens,En licencia
506,Patricia,Guerrero,1970-04-21,Femenino,"7794 Mullen Run Apt. 072
North Courtneyborough, MD 77677",001-515-943-3499x64612,sbates@example.net,Waste management officer,Logística,2014-09-27,Permanente,Rotativo,Jessica Mccormick,En licencia
507,Eric,Neal,1989-06-12,Masculino,"8618 Simpson Brooks Suite 352
North Robert, VA 66898",+1-711-369-2740x191,cthompson@example.org,Contractor,Logística,2017-12-13,Permanente,Rotativo,Norma Moore,Activo
508,Joseph,Long,1982-09-26,Femenino,"154 Eric Trafficway Suite 894
Garcialand, DE 90545",290-836-3329x691,meaganhooper@example.net,Actuary,Mantenimiento,2015-03-13,Permanente,Rotativo,Jordan Walton,Retirado
509,Nicole,Rojas,2006-03-22,Masculino,"633 Anderson Ports Apt. 956
Reynoldsfort, NE 72112",+1-531-876-9561x57803,mstark@example.com,Copy,Calidad,2019-12-12,Temporal,Diurno,James Smith,Retirado
510,Rebecca,Zavala,1987-11-01,Femenino,"41627 Murphy Courts
Reevesville, MD 96688",001-921-297-7575x26693,ihayes@example.org,Applications developer,Mantenimiento,2014-12-21,A tiempo parcial,Rotativo,Amanda Sanders,En licencia
511,Crystal,Skinner,1994-05-20,Masculino,"549 Michael Plaza
Danielburgh, IA 58600",+1-271-601-2865x25966,robert47@example.org,Statistician,Logística,2018-04-05,Temporal,Nocturno,Lisa Brown,Activo
512,Kelly,Smith,2005-01-16,Femenino,"5261 Brown Locks
Lake Kevinland, MA 11905",487.591.7396x09833,christopher47@example.org,"Sales professional, IT",Mantenimiento,2020-01-06,A tiempo parcial,Nocturno,Anthony Mata,Retirado
513,Kim,Williams,1964-09-27,Masculino,"9010 Collins Haven
Jamesmouth, MO 85024",001-506-821-5873x5651,ublake@example.net,"Programmer, multimedia",Calidad,2016-08-26,Temporal,Diurno,Laura Webster,Activo
514,Jessica,Preston,1982-08-03,Femenino,"282 Kevin View Apt. 232
Lake Mary, TX 79646",722.861.4114x585,nancy73@example.com,Probation officer,Mantenimiento,2020-05-18,A tiempo parcial,Diurno,Charles Perez,Activo
515,Margaret,James,1987-01-30,Masculino,"5285 Peter Pines
Hansenstad, OR 07871",(376)348-4840,cristina28@example.org,Corporate investment banker,Mantenimiento,2020-07-04,A tiempo parcial,Diurno,Nicole Mason,Activo
516,Brandon,Barrera,1984-11-12,Femenino,"639 Gary Junctions Apt. 298
Hallton, WY 58927",(636)664-2324x9645,vharmon@example.org,Energy engineer,Producción,2019-09-01,A tiempo parcial,Diurno,Daniel Cherry,Activo
517,Kevin,Sanchez,1975-06-27,Masculino,"0796 Sullivan Heights Apt. 213
Lake Brittany, NC 58925",(693)218-6587x587,ojones@example.com,Consulting civil engineer,Producción,2021-01-30,Permanente,Rotativo,Joseph Cordova,Retirado
518,Ricky,Jones,1959-08-15,Femenino,"07299 Robert Course Apt. 326
Reyeschester, HI 42892",4206213646,jason17@example.org,Chief Strategy Officer,Calidad,2017-05-04,Temporal,Rotativo,Jeremiah Avery,Retirado
519,Meagan,Gardner,1964-01-20,Femenino,"66167 Ariana Extensions
Ortegashire, FL 79944",366-998-5760x3956,heatherhowell@example.org,Air broker,Administración,2018-07-09,A tiempo parcial,Diurno,Andrew Gray,Activo
520,Melanie,Roberts,1987-03-27,Masculino,"58723 Sanders Throughway
East Laurabury, MA 06411",+1-450-532-5256x063,millerrobert@example.org,"Programmer, systems",Producción,2016-10-09,Temporal,Diurno,Theresa Doyle,Retirado
521,Katherine,Dunlap,1971-02-28,Femenino,"45141 Raymond Springs Apt. 205
Lanceland, AS 80860",930-696-9383,jill91@example.net,Textile designer,Logística,2019-05-06,A tiempo parcial,Rotativo,Hannah Todd,En licencia
522,Ronald,Kim,1995-04-11,Masculino,"25784 Richard Roads Apt. 190
Graystad, FL 43503",001-286-282-2554,mariastout@example.com,"Engineer, communications",Producción,2022-07-22,A tiempo parcial,Nocturno,Vanessa Green,En licencia
523,Brianna,Morris,1985-07-23,Femenino,"912 Timothy Plaza
Port Derek, PA 54109",222.236.1819,qtaylor@example.net,Public librarian,Mantenimiento,2015-12-01,A tiempo parcial,Rotativo,Cameron Smith,Activo
524,Cody,Estrada,1986-01-04,Femenino,"USNS Woods
FPO AA 24707",+1-636-503-4485x8395,charlesgibson@example.net,"Designer, interior/spatial",Calidad,2016-04-16,Temporal,Nocturno,Karen Olson,Activo
525,Joshua,Cruz,1998-09-15,Masculino,"Unit 3926 Box 9281
DPO AP 24216",850-564-3574,uwhite@example.com,Health service manager,Mantenimiento,2020-03-03,A tiempo parcial,Diurno,Vicki Davidson,En licencia
526,Kristy,Brown,1974-04-18,Masculino,"582 Murphy Coves
Pughton, VT 81858",001-314-683-4525x7315,othomas@example.com,Cabin crew,Calidad,2023-08-05,A tiempo parcial,Diurno,Thomas Phillips,Retirado
527,Matthew,Murphy,1965-09-25,Femenino,"2046 Rivera Road
Port Donald, VA 08622",6469895549,gsolis@example.net,Mental health nurse,Administración,2024-04-14,Permanente,Diurno,Edward Nichols,Retirado
528,Alan,Houston,1982-06-14,Femenino,"89802 Cannon Spur
Tonystad, CA 18087",345.725.3095x9674,sarah25@example.net,Financial trader,Producción,2022-05-28,A tiempo parcial,Diurno,Michelle Wilson,Activo
529,James,Campos,1999-06-26,Masculino,"6388 Alexander Lodge
Villanuevaland, MI 79429",338-768-4905x1968,kcollins@example.net,Records manager,Logística,2019-11-13,Permanente,Diurno,Michelle Scott,Retirado
530,Joseph,Obrien,1976-01-25,Masculino,"20450 George Station Apt. 017
New Dennismouth, MA 35053",2498003409,trevinojeremy@example.org,Travel agency manager,Mantenimiento,2023-05-16,Temporal,Diurno,Valerie Johnson,En licencia
531,James,Sullivan,1965-08-01,Masculino,"Unit 4531 Box 8336
DPO AE 35162",320.633.1144x882,perezjonathan@example.org,Seismic interpreter,Mantenimiento,2022-07-16,A tiempo parcial,Nocturno,John Sullivan,En licencia
532,John,Taylor,1993-09-02,Masculino,"68791 Zuniga Trace
Harrismouth, OH 10485",001-701-718-8951,pterry@example.org,Senior tax professional/tax inspector,Producción,2022-11-09,Temporal,Rotativo,Leslie Potter,Retirado
533,Amber,Mcgee,1977-07-25,Masculino,"77695 Daniel Islands
Allenchester, PA 65101",447.295.1706x9330,jerrypowell@example.org,Music tutor,Producción,2022-07-18,Permanente,Nocturno,Lauren Smith,Retirado
534,David,Cervantes,2002-05-27,Femenino,"3465 Smith Trail
Bondville, TX 31138",5029733283,michaelbaker@example.net,"Civil engineer, contracting",Administración,2021-06-01,A tiempo parcial,Diurno,Wesley Mcguire,En licencia
535,Benjamin,Thornton,1972-11-10,Masculino,"18058 Gomez Oval Suite 086
Chadside, AS 84758",001-870-555-5870x38614,ujohnson@example.com,"Administrator, local government",Calidad,2017-01-29,Permanente,Nocturno,Troy Delacruz,En licencia
536,Kimberly,Martinez,1979-05-15,Femenino,"728 Caitlin Square
Benjaminmouth, SD 73337",+1-782-620-6783x872,jeffreybeard@example.com,Microbiologist,Administración,2021-11-22,Permanente,Nocturno,Kimberly Ford,Retirado
537,Stephanie,Johnson,1988-03-02,Femenino,"0483 Sean Streets
West Patricia, NM 41960",548-483-7822,murphymichael@example.org,"Engineer, manufacturing",Producción,2024-05-15,A tiempo parcial,Rotativo,Amy Garner,Activo
538,Patrick,Aguirre,1994-09-17,Femenino,"94284 Gary Rue
South Kenneth, MD 49609",450-504-8274x69619,jeffreyowens@example.org,"Editor, magazine features",Calidad,2022-07-10,A tiempo parcial,Nocturno,William Miller,Retirado
539,Brendan,Carter,2005-08-08,Femenino,"1540 Jasmine Key
Stanleyfort, KY 81475",+1-953-317-9097x380,gomezkim@example.com,Armed forces operational officer,Administración,2015-03-17,Temporal,Diurno,Dakota Norris,Activo
540,Mary,Bowen,1977-07-15,Femenino,"56205 John Alley Suite 881
South Shirleychester, DE 80001",9978790227,ashley22@example.com,Music therapist,Mantenimiento,2023-08-25,Permanente,Diurno,Mrs. Amy Johnson,Retirado
541,Karen,Peterson,1995-04-04,Masculino,"8773 Jeanne Pike Suite 785
Port Stuart, ME 92836",(764)712-1959x370,brownvictoria@example.net,Neurosurgeon,Producción,2017-10-07,Temporal,Nocturno,Lauren Hernandez,Activo
542,Katherine,Thomas,1971-06-13,Masculino,"535 Hansen Lake Suite 738
North Kevinview, FM 57557",942.845.0943x5651,nancy10@example.com,Toxicologist,Calidad,2019-08-27,Permanente,Diurno,Heidi Benson,En licencia
543,Christopher,Robles,1965-01-12,Masculino,"247 Joseph Street
Port Mckenziefort, PW 02475",489.655.4555,yjackson@example.com,"Teacher, adult education",Logística,2017-04-20,Temporal,Nocturno,Dr. Jessica Proctor DDS,Retirado
544,Melvin,Johnson,1980-03-09,Femenino,"16003 Schneider Squares Apt. 946
Millsview, IA 93919",360.643.4240x39868,elizabeth34@example.com,"Engineer, electrical",Logística,2015-08-02,Temporal,Nocturno,Joseph Miller,En licencia
545,Christopher,Hart,1961-06-23,Masculino,"1076 Curtis Rapid
Cartershire, DC 92840",774.384.6929x2436,erinalvarado@example.net,Armed forces training and education officer,Mantenimiento,2017-12-03,Temporal,Rotativo,Lisa Howe,En licencia
546,Rebecca,Kennedy,1983-01-28,Masculino,"80077 Spencer Fords
New Josephchester, PW 49424",875-806-0000,bernard81@example.com,Quarry manager,Producción,2023-12-28,Permanente,Nocturno,Kayla Horne,Activo
547,Jasmine,Dalton,1998-07-11,Masculino,"9154 Roth Estate Apt. 334
Olivermouth, OK 98063",+1-230-975-7937x4917,jeffrey76@example.com,Youth worker,Logística,2019-02-20,Permanente,Nocturno,Michael Ingram,En licencia
548,Cody,Mcdonald,1968-11-02,Femenino,"3614 Frank Forest
Tammyborough, AL 00860",001-776-782-3324,pagekayla@example.com,International aid/development worker,Administración,2017-10-18,A tiempo parcial,Nocturno,Dr. Ashley Mckee,En licencia
549,Kristopher,Vaughn,1970-10-07,Masculino,"170 Wood Circle Suite 981
New Cindyview, TN 56812",(878)324-6932x30943,xroy@example.org,Immunologist,Logística,2018-05-09,Permanente,Rotativo,Katherine Brown,Retirado
550,Melissa,Reyes,1990-04-17,Masculino,"02603 Krueger Crescent
Martinburgh, AS 09149",(343)473-8866x2294,stanleyhill@example.net,Pension scheme manager,Calidad,2015-02-03,A tiempo parcial,Diurno,Kathleen Diaz,En licencia
551,Brian,Anderson,1971-11-22,Masculino,"170 Eddie Lakes
Hannahchester, PW 26907",920-839-4719,sherman@example.com,Medical physicist,Calidad,2022-11-27,Temporal,Diurno,Robert Burke,En licencia
552,Paul,Adkins,1972-11-18,Femenino,"58269 Dustin Centers Suite 500
New Katherinemouth, CT 13960",+1-382-996-1695x19617,rileywilliam@example.net,Market researcher,Logística,2015-01-01,Permanente,Nocturno,Vincent Bowen,En licencia
553,David,Rios,1975-05-27,Masculino,"USS Macias
FPO AE 77576",001-352-208-6894,kylegutierrez@example.com,Banker,Logística,2022-12-15,Temporal,Rotativo,Carol Drake,Retirado
554,Kevin,Walker,2000-05-08,Masculino,"455 Dawn Stravenue
South Haley, MN 44281",628-472-2860,jellis@example.com,Licensed conveyancer,Producción,2019-01-25,Permanente,Diurno,Robert Smith,En licencia
555,Felicia,Jacobs,1998-10-29,Femenino,"2946 Douglas Oval Apt. 635
Lake Gail, PR 59132",610-216-7838x09621,tammyowen@example.com,"Designer, exhibition/display",Administración,2022-04-18,Permanente,Nocturno,Alexis Goodwin,En licencia
556,Colin,Guerrero,1974-10-22,Femenino,"694 Stephanie Spring
West Robert, MH 03211",+1-397-733-6131x91612,john02@example.com,Barista,Mantenimiento,2020-12-18,Temporal,Nocturno,Linda Sullivan,Activo
557,Brian,Jimenez,1977-04-03,Femenino,"3963 William Parkways
Washingtonborough, AK 16115",825.737.2747x6153,joseph08@example.net,Animal technologist,Producción,2018-05-09,Permanente,Rotativo,Mrs. Ashley Guerra MD,Activo
558,Michael,Webster,2001-11-19,Masculino,"942 Palmer Island
New Christopherhaven, MS 43086",+1-853-739-7569x3998,qcarr@example.net,Chemical engineer,Calidad,2022-11-03,A tiempo parcial,Nocturno,Casey Fitzpatrick,Retirado
559,Karen,Johnson,1993-03-23,Femenino,"765 Terri Walk
West Taraborough, TN 44637",+1-926-839-5847,yperez@example.org,Water engineer,Logística,2023-05-04,Temporal,Diurno,Paul Johnson,Retirado
560,Benjamin,Elliott,1970-06-29,Femenino,"USNS Blair
FPO AA 17097",345.352.7673,johnarmstrong@example.org,Pension scheme manager,Calidad,2022-12-28,Temporal,Diurno,Miranda Luna,Activo
561,Marcus,Coleman,1996-07-29,Masculino,"384 Hooper Coves Suite 083
Port Daniel, NE 21638",(477)482-1752,morgan44@example.net,"Secretary, company",Mantenimiento,2019-12-06,Temporal,Rotativo,Kelly Reed,En licencia
562,Edward,Jenkins,1976-06-15,Femenino,"3384 Taylor Expressway Suite 717
East Sharon, AK 73812",+1-244-864-8032x2525,guerramarcus@example.com,"Psychotherapist, dance movement",Calidad,2016-01-11,A tiempo parcial,Diurno,Fernando Robinson,En licencia
563,Christopher,Jenkins,1995-09-04,Femenino,"17691 Kayla Stream Suite 589
South Theresa, DC 31736",596.693.9883x718,oscar47@example.net,"Engineer, technical sales",Mantenimiento,2024-01-14,Permanente,Diurno,Jennifer Arroyo,Retirado
564,Diane,Ramirez,1960-11-20,Femenino,"386 David Curve Apt. 319
Taylorberg, MP 65956",983-641-0299x690,garrett82@example.net,"Geologist, engineering",Logística,2017-11-19,Temporal,Diurno,Terri Gould,Activo
565,Lisa,Welch,1973-09-27,Masculino,"8301 Erin Rue Suite 504
East Melvin, MS 08973",(564)330-0915x75130,malik76@example.org,Technical author,Administración,2022-11-16,Temporal,Rotativo,Tiffany Barnes,Retirado
566,Christopher,Young,1975-08-21,Masculino,"84126 Stephen Trafficway
New Jacobbury, GU 75409",001-324-743-2844x462,wsullivan@example.org,Location manager,Calidad,2016-11-23,A tiempo parcial,Diurno,John Williamson,Activo
567,Jamie,Jefferson,1961-10-20,Masculino,"3761 Gomez Island
Jeremychester, WI 87372",612.899.5565,nguyenbarbara@example.com,Trade mark attorney,Logística,2016-10-26,Temporal,Diurno,Tina Ross,Retirado
568,William,Young,1967-11-30,Femenino,"31504 David Pines
Deannaborough, MO 53797",(652)937-8586,jbrown@example.org,Magazine journalist,Administración,2023-10-03,Permanente,Nocturno,Laura Carlson,Retirado
569,William,Scott,1989-01-28,Masculino,"0571 Ramirez Viaduct
Sharonton, OR 62946",444-859-8531,gardnerbrittany@example.com,"Designer, exhibition/display",Logística,2018-11-03,Permanente,Rotativo,Rachel Porter,En licencia
570,Jason,Smith,1992-01-08,Femenino,"PSC 7268, Box 9481
APO AE 28950",307-679-9042,robertsonrebecca@example.net,Data scientist,Calidad,2023-07-10,Permanente,Nocturno,Mark Munoz,Retirado
571,Dennis,Peterson,1971-04-21,Masculino,"USNV Wheeler
FPO AE 09689",001-258-872-4462x8476,peterflores@example.org,Call centre manager,Logística,2016-06-28,A tiempo parcial,Rotativo,Nathan Walker,Activo
572,Ashlee,Robinson,1994-08-31,Masculino,"91898 Bryce Gardens Apt. 948
Bradleyburgh, PR 94824",(421)891-5521x6698,leslie78@example.com,"Scientist, clinical (histocompatibility and immunogenetics)",Logística,2016-08-08,Permanente,Diurno,Sarah Alvarez,Activo
573,Stacey,Reilly,1982-02-14,Femenino,"86959 Alison Locks Apt. 652
South Mark, NJ 93422",9768220397,taylorandrew@example.net,"Accountant, chartered management",Logística,2023-12-11,Temporal,Diurno,Samantha Brown,Activo
574,Nathaniel,Morrison,1973-07-31,Femenino,"USCGC Krause
FPO AE 90993",001-683-891-6121,johnchavez@example.com,"Editor, magazine features",Administración,2022-04-14,Permanente,Diurno,Daniel Gibbs,Retirado
575,Gregory,Hall,1972-11-19,Masculino,"250 Rebekah Dale
Lake Annette, VI 53122",+1-817-794-8444x934,phillipsgavin@example.org,Retail banker,Administración,2016-08-31,A tiempo parcial,Diurno,Elizabeth Martinez,En licencia
576,Megan,Johnson,1985-12-21,Masculino,"00860 Dominic Keys Suite 792
East Lisastad, MA 23556",678-292-2354x76330,masonwhite@example.com,Commissioning editor,Calidad,2020-03-21,A tiempo parcial,Rotativo,Ann Carroll,En licencia
577,Connie,Francis,1966-05-21,Masculino,"Unit 4199 Box 1867
DPO AA 48259",001-362-823-1764,michael70@example.org,Tourism officer,Calidad,2022-09-06,A tiempo parcial,Nocturno,Christopher Santos,Activo
578,Michael,Oliver,1992-03-04,Femenino,"795 Evans Turnpike
South Michael, PW 38461",(738)939-1294x807,pmoore@example.org,"Designer, multimedia",Mantenimiento,2015-05-08,A tiempo parcial,Nocturno,Manuel Carter,Activo
579,Virginia,Lyons,1970-10-21,Masculino,"36932 Hudson Center Suite 631
Andersonburgh, UT 86962",+1-273-724-6192x2030,johnesparza@example.net,Audiological scientist,Logística,2017-02-07,Permanente,Nocturno,Heidi Collins,Retirado
580,Kimberly,Ortega,2004-04-03,Masculino,"50122 Griffith Mill
Howardbury, MP 45353",001-478-391-7901x2168,jacqueline02@example.org,Education administrator,Calidad,2015-11-04,Permanente,Nocturno,Mrs. Nancy Ho,Activo
581,Thomas,Norman,2005-06-23,Masculino,"943 Mason Dale
Joshuachester, PR 33223",+1-257-668-4464,natashaprice@example.net,Careers information officer,Producción,2022-11-10,A tiempo parcial,Rotativo,Catherine Browning,Retirado
582,Steven,Torres,1966-11-22,Femenino,"95963 John Passage
East Lauraton, ID 20491",(482)996-8791x249,jasondominguez@example.org,"Engineer, maintenance",Logística,2018-10-05,Permanente,Rotativo,Sheila Wilson,Activo
583,Nicholas,Howard,1987-01-06,Masculino,"413 Kenneth Branch Suite 824
Curtisville, MT 13583",(897)724-2834,hansonmark@example.org,Insurance broker,Mantenimiento,2014-11-24,A tiempo parcial,Nocturno,Scott Newman,Retirado
584,William,Harrison,1996-07-23,Femenino,"27223 Gilbert Lodge Apt. 523
Smithmouth, UT 88076",(724)757-3979x59653,greenjames@example.com,Immigration officer,Logística,2020-01-06,A tiempo parcial,Nocturno,Dr. Robert Brown,En licencia
585,Joy,Sampson,1975-04-02,Masculino,"54208 Sanchez Neck Suite 478
Stefanieport, MA 65220",(875)848-6665x63360,edgar96@example.net,Barrister's clerk,Producción,2015-06-02,Temporal,Rotativo,Vernon Cameron,Activo
586,Justin,Dalton,2004-08-19,Femenino,"44172 Christopher Dam
Garciaside, DE 11046",557-959-0708x22558,perrymarissa@example.com,Health promotion specialist,Administración,2022-06-10,Temporal,Rotativo,Frank Gibson,Retirado
587,Yesenia,Kelly,1985-03-18,Femenino,"97451 Davidson Plaza
Lake Charles, SC 04053",328-777-4700,amy98@example.com,Secretary/administrator,Producción,2019-08-15,Permanente,Rotativo,Jennifer Lara,Retirado
588,Kara,Smith,1998-01-30,Femenino,"553 Cook Stravenue Apt. 763
New Jeffrey, AK 27267",399-927-6896,brianwilliams@example.net,Textile designer,Administración,2015-01-31,Temporal,Rotativo,David Heath,En licencia
589,Christine,Garcia,1986-01-11,Femenino,"10259 Contreras Plain
West Kathleen, TN 83624",001-240-667-5767x1797,millsbrian@example.com,Commercial/residential surveyor,Administración,2016-11-01,A tiempo parcial,Rotativo,Abigail Nash,Activo
590,Tammy,Reyes,2004-10-08,Femenino,"Unit 3143 Box 1350
DPO AE 02924",830.775.4274,velezkevin@example.com,Press sub,Calidad,2021-11-23,A tiempo parcial,Rotativo,Angela Ortiz,En licencia
591,Kevin,Patterson,1993-08-21,Femenino,"05142 Scott Village Apt. 376
Davishaven, NH 99274",405.888.6229x333,stephaniemorse@example.net,Chief Marketing Officer,Administración,2018-10-28,A tiempo parcial,Nocturno,Julie Willis,Activo
